First Time,SEL,N,LAeq,LMax
15/11/2023 17:49:11,87.22,39,71.31,78.80
15/11/2023 17:50:39,88.21,37,72.53,80.50
15/11/2023 17:52:51,87.26,33,72.07,79.50
15/11/2023 17:54:44,87.46,31,72.55,79.70
15/11/2023 17:56:42,91.51,50,74.52,84.00
15/11/2023 17:58:54,89.64,43,73.30,80.80
15/11/2023 18:02:42,86.86,38,71.06,78.70
15/11/2023 18:04:58,87.88,37,72.19,79.80
15/11/2023 18:08:52,88.61,41,72.48,80.30
15/11/2023 18:11:54,87.89,44,71.46,79.90
15/11/2023 18:13:49,74.69,20,61.68,62.50
15/11/2023 18:16:34,85.71,39,69.80,77.40
15/11/2023 18:18:43,86.99,40,70.97,79.10
15/11/2023 18:21:34,74.78,26,60.63,61.40
15/11/2023 18:28:18,75.50,27,61.19,62.80
15/11/2023 18:30:58,76.03,31,61.11,62.80
15/11/2023 18:33:19,75.74,30,60.97,62.80
15/11/2023 18:40:20,87.71,46,71.08,78.90
15/11/2023 18:49:25,86.33,34,71.02,77.90
15/11/2023 18:59:34,85.84,33,70.65,76.70
15/11/2023 19:06:01,88.13,42,71.89,79.20
15/11/2023 19:09:14,85.71,32,70.66,77.10
15/11/2023 19:11:46,86.29,37,70.60,77.20
15/11/2023 19:14:14,81.87,31,66.96,74.00
15/11/2023 19:16:46,88.68,35,73.24,80.90
15/11/2023 19:20:12,75.26,24,61.46,63.00
15/11/2023 19:23:08,85.38,46,68.75,76.60
15/11/2023 19:25:37,87.91,38,72.11,79.60
15/11/2023 19:29:36,74.34,22,60.91,62.40
15/11/2023 19:32:36,86.26,40,70.24,77.90
15/11/2023 19:38:00,88.01,34,72.70,80.20
15/11/2023 19:39:49,74.38,23,60.77,62.20
15/11/2023 19:40:52,86.24,35,70.80,77.60
15/11/2023 19:43:26,84.71,34,69.40,75.60
15/11/2023 19:45:18,85.08,32,70.03,76.90
15/11/2023 19:47:39,77.58,34,62.26,63.80
15/11/2023 19:51:08,88.23,70,69.77,78.20
15/11/2023 19:53:56,79.34,39,63.43,71.80
15/11/2023 20:03:50,87.46,31,72.55,79.90
15/11/2023 20:10:15,74.16,20,61.15,62.50
15/11/2023 20:27:37,82.97,28,68.50,74.20
15/11/2023 20:30:47,87.81,32,72.76,80.00
15/11/2023 20:38:17,86.39,38,70.59,77.40
15/11/2023 20:42:17,86.77,32,71.72,78.20
15/11/2023 20:46:21,86.95,31,72.04,78.60
15/11/2023 20:48:49,87.73,35,72.29,79.40
15/11/2023 20:57:49,85.60,36,70.04,77.00
15/11/2023 21:04:37,93.08,41,76.95,85.20
15/11/2023 21:08:08,86.98,35,71.54,78.50
15/11/2023 21:18:53,87.92,35,72.48,79.60
15/11/2023 21:22:46,88.08,39,72.17,79.80
15/11/2023 21:26:49,85.46,33,70.28,76.70
15/11/2023 21:30:03,90.43,43,74.09,82.90
15/11/2023 21:31:02,76.76,30,61.99,65.40
15/11/2023 21:32:37,86.11,39,70.20,77.20
15/11/2023 21:34:26,87.25,43,70.92,78.70
15/11/2023 21:36:33,89.46,47,72.74,80.50
15/11/2023 21:39:00,87.95,42,71.71,78.30
15/11/2023 21:43:51,88.97,40,72.95,80.00
15/11/2023 21:46:07,88.15,34,72.84,80.50
15/11/2023 21:48:15,88.92,42,72.68,79.20
15/11/2023 21:51:18,89.10,39,73.19,80.20
15/11/2023 21:53:57,87.03,38,71.23,78.40
15/11/2023 21:57:39,87.66,40,71.64,78.00
15/11/2023 22:00:49,87.73,39,71.82,79.00
15/11/2023 22:03:18,88.75,35,73.31,81.70
15/11/2023 22:05:27,87.35,40,71.32,78.70
15/11/2023 22:17:32,89.03,47,72.31,79.80
15/11/2023 22:21:33,87.32,44,70.89,78.90
15/11/2023 22:25:39,91.00,39,75.09,83.40
15/11/2023 22:28:50,86.96,38,71.16,79.20
15/11/2023 22:30:42,86.52,34,71.21,78.90
15/11/2023 22:34:35,87.68,32,72.63,79.70
15/11/2023 22:39:04,82.67,29,68.04,73.40
15/11/2023 22:45:04,87.59,29,72.97,79.40
15/11/2023 22:47:28,87.16,31,72.25,79.70
15/11/2023 22:49:59,86.12,33,70.94,77.10
15/11/2023 22:52:44,89.95,51,72.88,82.00
15/11/2023 23:01:15,87.34,34,72.02,79.10
15/11/2023 23:03:19,85.36,28,70.89,77.30
15/11/2023 23:06:16,87.84,35,72.40,79.80
15/11/2023 23:08:13,86.32,36,70.75,78.60
15/11/2023 23:10:07,91.51,38,75.71,85.00
15/11/2023 23:12:57,87.52,34,72.20,78.60
15/11/2023 23:20:53,81.43,25,67.45,72.00
15/11/2023 23:23:12,88.28,33,73.10,80.90
15/11/2023 23:25:48,87.01,30,72.24,79.50
15/11/2023 23:29:35,89.29,35,73.85,82.30
15/11/2023 23:33:45,87.04,36,71.47,78.50
15/11/2023 23:38:38,89.66,34,74.35,81.60
15/11/2023 23:41:38,82.38,24,68.58,74.80
15/11/2023 23:45:16,87.93,26,73.78,80.60
15/11/2023 23:48:54,88.15,41,72.02,79.70
15/11/2023 23:51:59,90.76,35,75.32,84.80
